entry_date,exit_date,direction,entry_price,exit_price,pnl,pnl_pct,days_held,exit_reason,signal_type,strategy
2025-06-26,2025-08-08,BUY_CALL,84.5199966430664,114.62999725341797,3011.0000610351562,3.011000061035156,30,time_expiry,N/A,VegaEdge Only
2025-08-11,2025-08-19,BUY_CALL,113.62000274658203,107.5,-612.0002746582031,-0.6120002746582031,6,stop_loss,N/A,VegaEdge Only
2025-08-21,2025-08-27,BUY_CALL,106.30000305175781,102.91999816894531,-338.00048828125,-0.33800048828125,4,iv_normalized,N/A,VegaEdge Only
2025-08-29,2025-09-08,BUY_CALL,104.02999877929688,117.27999877929688,1325.0,1.325,5,iv_normalized,N/A,VegaEdge Only
2025-09-09,2025-09-19,SELL_CALL,118.5,124.77999877929688,-627.9998779296875,-0.6279998779296875,8,stop_loss,N/A,VegaEdge Only
2025-09-22,2025-09-24,SELL_CALL,124.88999938964844,126.80000305175781,-191.0003662109375,-0.19100036621093752,2,iv_normalized,N/A,VegaEdge Only
2025-09-29,2025-10-02,SELL_CALL,136.72000122070312,145.6999969482422,-897.9995727539062,-0.8979995727539063,3,stop_loss,N/A,VegaEdge Only
2025-10-02,2025-10-21,SELL_CALL,145.6999969482422,131.83999633789062,1386.0000610351562,1.3860000610351562,13,iv_normalized,N/A,VegaEdge Only
2025-11-05,2025-12-18,SELL_CALL,142.47999572753906,117.16000366210938,2531.9992065429688,2.531999206542969,30,time_expiry,N/A,VegaEdge Only
2025-12-18,2025-12-19,SELL_CALL,117.16000366210938,121.3499984741211,-418.9994812011719,-0.4189994812011719,1,iv_normalized,N/A,VegaEdge Only
2026-01-06,2026-01-08,BUY_CALL,121.69999694824219,115.38999938964844,-630.999755859375,-0.630999755859375,2,stop_loss,N/A,VegaEdge Only
2026-01-08,2026-01-16,BUY_CALL,115.38999938964844,108.73999786376953,-665.0001525878906,-0.6650001525878907,6,stop_loss,N/A,VegaEdge Only
2026-01-16,2026-01-29,BUY_CALL,108.73999786376953,101.23999786376953,-750.0,-0.75,8,stop_loss,N/A,VegaEdge Only
2026-02-02,2026-02-04,BUY_CALL,89.91000366210938,80.62000274658203,-929.0000915527344,-0.9290000915527344,2,stop_loss,N/A,VegaEdge Only
2026-02-04,2026-02-05,BUY_CALL,80.62000274658203,72.68000030517578,-794.000244140625,-0.794000244140625,1,stop_loss,N/A,VegaEdge Only
2025-09-22,2025-09-24,SELL_CALL,124.88999938964844,126.80000305175781,-191.0003662109375,-0.19100036621093752,2,iv_normalized,SELL_CALL,VegaEdge + Keltner
2025-09-29,2025-10-02,SELL_CALL,136.72000122070312,145.6999969482422,-897.9995727539062,-0.8979995727539063,3,stop_loss,SELL_CALL,VegaEdge + Keltner
2025-10-02,2025-10-21,SELL_CALL,145.6999969482422,131.83999633789062,1386.0000610351562,1.3860000610351562,13,iv_normalized,SELL_CALL,VegaEdge + Keltner
2026-01-20,2026-02-02,BUY_CALL,105.77999877929688,89.91000366210938,-1586.99951171875,-1.58699951171875,9,leap_stop_loss,BUY_LEAP,VegaEdge + Keltner
2026-02-02,2026-02-04,BUY_CALL,89.91000366210938,80.62000274658203,-929.0000915527344,-0.9290000915527344,2,leap_stop_loss,BUY_LEAP,VegaEdge + Keltner
2026-02-04,2026-02-05,BUY_CALL,80.62000274658203,72.68000030517578,-794.000244140625,-0.794000244140625,1,iv_normalized,BUY_LEAP,VegaEdge + Keltner
2026-02-11,2026-02-12,SELL_PUT,77.97000122070312,71.12000274658203,684.9998474121094,0.6849998474121094,1,stop_loss,SELL_CSP,VegaEdge + Keltner
