entry_date,exit_date,type,entry_price,exit_price,pnl,pnl_pct,weeks_held,exit_reason,entry_reason,strategy
2022-06-27 00:00:00-04:00,2022-07-04 00:00:00-04:00,SELL_CALL,1.3200000524520874,1.7899999618530273,-46.999990940093994,-0.046999990940093994,1,stop_loss,IV/HV 1.65 > 1.3,VegaEdge Only
2022-07-11 00:00:00-04:00,2022-08-01 00:00:00-04:00,SELL_CALL,1.7400000095367432,2.190000057220459,-45.00000476837158,-0.04500000476837158,3,stop_loss,IV/HV 1.61 > 1.3,VegaEdge Only
2022-08-08 00:00:00-04:00,2022-09-05 00:00:00-04:00,SELL_CALL,2.3399999141693115,1.6699999570846558,66.99999570846558,0.06699999570846558,4,time_expiry,IV/HV 1.67 > 1.3,VegaEdge Only
2022-09-12 00:00:00-04:00,2022-10-10 00:00:00-04:00,SELL_CALL,1.600000023841858,0.949999988079071,65.00000357627869,0.06500000357627869,4,time_expiry,IV/HV 1.46 > 1.3,VegaEdge Only
2022-10-24 00:00:00-04:00,2022-11-21 00:00:00-05:00,SELL_CALL,1.149999976158142,0.8579999804496765,29.199999570846558,0.02919999957084656,4,time_expiry,IV/HV 1.65 > 1.3,VegaEdge Only
2022-12-12 00:00:00-05:00,2022-12-26 00:00:00-05:00,SELL_CALL,0.6000000238418579,0.5600000023841858,4.000002145767212,0.0040000021457672124,2,iv_normalized,IV/HV 1.31 > 1.3,VegaEdge Only
2023-01-02 00:00:00-05:00,2023-01-09 00:00:00-05:00,SELL_CALL,0.7699999809265137,1.1100000143051147,-34.00000333786011,-0.03400000333786011,1,stop_loss,IV/HV 1.36 > 1.3,VegaEdge Only
2023-01-16 00:00:00-05:00,2023-01-23 00:00:00-05:00,SELL_CALL,1.100000023841858,1.4700000286102295,-37.00000047683716,-0.03700000047683716,1,stop_loss,IV/HV 1.73 > 1.3,VegaEdge Only
2023-02-06 00:00:00-05:00,2023-02-13 00:00:00-05:00,SELL_CALL,1.5099999904632568,1.899999976158142,-38.999998569488525,-0.03899999856948852,1,stop_loss,IV/HV 1.61 > 1.3,VegaEdge Only
2023-02-20 00:00:00-05:00,2023-02-27 00:00:00-05:00,SELL_CALL,1.5099999904632568,1.6100000143051147,-10.000002384185791,-0.010000002384185792,1,stop_loss,IV/HV 1.75 > 1.3,VegaEdge Only
2023-03-06 00:00:00-05:00,2023-03-13 00:00:00-04:00,SELL_CALL,1.3200000524520874,2.319999933242798,-99.99998807907104,-0.09999998807907104,1,stop_loss,IV/HV 1.63 > 1.3,VegaEdge Only
2023-04-03 00:00:00-04:00,2023-04-10 00:00:00-04:00,SELL_CALL,2.3299999237060547,2.9100000858306885,-58.00001621246338,-0.05800001621246338,1,stop_loss,IV/HV 1.33 > 1.3,VegaEdge Only
2023-04-24 00:00:00-04:00,2023-05-15 00:00:00-04:00,SELL_CALL,2.309999942779541,2.5299999713897705,-22.00000286102295,-0.02200000286102295,3,stop_loss,IV/HV 1.70 > 1.3,VegaEdge Only
2023-08-07 00:00:00-04:00,2023-08-14 00:00:00-04:00,BUY_CALL,3.6700000762939453,3.134999990463257,-53.50000858306885,-0.053500008583068845,1,stop_loss,IV/HV 0.70 < 0.8,VegaEdge Only
2023-08-21 00:00:00-04:00,2023-09-18 00:00:00-04:00,BUY_CALL,2.9700000286102295,2.440000057220459,-52.99999713897705,-0.05299999713897706,4,time_expiry,IV/HV 0.67 < 0.8,VegaEdge Only
2023-10-02 00:00:00-04:00,2023-10-09 00:00:00-04:00,BUY_CALL,2.6700000762939453,2.4000000953674316,-26.999998092651367,-0.026999998092651366,1,stop_loss,IV/HV 0.70 < 0.8,VegaEdge Only
2023-10-16 00:00:00-04:00,2023-11-13 00:00:00-05:00,BUY_CALL,2.5999999046325684,2.4749999046325684,-12.5,-0.0125,4,time_expiry,IV/HV 0.78 < 0.8,VegaEdge Only
2023-11-20 00:00:00-05:00,2023-12-18 00:00:00-05:00,BUY_CALL,2.690000057220459,4.03000020980835,134.00001525878906,0.13400001525878907,4,time_expiry,IV/HV 0.75 < 0.8,VegaEdge Only
2024-05-27 00:00:00-04:00,2024-06-24 00:00:00-04:00,BUY_CALL,3.7100000381469727,4.150000095367432,44.0000057220459,0.0440000057220459,4,time_expiry,IV/HV 0.63 < 0.8,VegaEdge Only
2024-07-01 00:00:00-04:00,2024-07-29 00:00:00-04:00,BUY_CALL,4.699999809265137,4.329999923706055,-36.9999885559082,-0.036999988555908206,4,time_expiry,IV/HV 0.68 < 0.8,VegaEdge Only
