entry_date,exit_date,type,entry_price,exit_price,pnl,pnl_pct,weeks_held,exit_reason,entry_reason,strategy
2023-01-02 00:00:00-05:00,2023-01-09 00:00:00-05:00,BUY_CALL,8.25,9.319999694824219,106.99996948242188,0.10699996948242188,1,iv_normalized,IV/HV 0.72 < 0.8,VegaEdge Only
2023-01-23 00:00:00-05:00,2023-02-20 00:00:00-05:00,BUY_CALL,10.390000343322754,9.59000015258789,-80.00001907348633,-0.08000001907348633,4,time_expiry,IV/HV 0.67 < 0.8,VegaEdge Only
2023-02-27 00:00:00-05:00,2023-03-06 00:00:00-05:00,BUY_CALL,9.899999618530273,9.010000228881836,-88.99993896484375,-0.08899993896484375,1,stop_loss,IV/HV 0.73 < 0.8,VegaEdge Only
2023-03-13 00:00:00-04:00,2023-03-20 00:00:00-04:00,BUY_CALL,9.1899995803833,8.680000305175781,-50.99992752075195,-0.050999927520751956,1,stop_loss,IV/HV 0.55 < 0.8,VegaEdge Only
2023-03-27 00:00:00-04:00,2023-04-24 00:00:00-04:00,BUY_CALL,9.710000038146973,8.850000381469727,-85.99996566772461,-0.08599996566772461,4,time_expiry,IV/HV 0.69 < 0.8,VegaEdge Only
2023-05-01 00:00:00-04:00,2023-05-29 00:00:00-04:00,BUY_CALL,8.850000381469727,9.34000015258789,48.999977111816406,0.04899997711181641,4,time_expiry,IV/HV 0.73 < 0.8,VegaEdge Only
2023-06-05 00:00:00-04:00,2023-07-03 00:00:00-04:00,BUY_CALL,9.40999984741211,10.789999961853027,138.0000114440918,0.1380000114440918,4,time_expiry,IV/HV 0.62 < 0.8,VegaEdge Only
2023-07-10 00:00:00-04:00,2023-07-31 00:00:00-04:00,BUY_CALL,12.380000114440918,11.279999732971191,-110.00003814697266,-0.11000003814697265,3,stop_loss,IV/HV 0.57 < 0.8,VegaEdge Only
2023-08-07 00:00:00-04:00,2023-09-04 00:00:00-04:00,BUY_CALL,10.720000267028809,10.739999771118164,1.9999504089355469,0.001999950408935547,4,time_expiry,IV/HV 0.70 < 0.8,VegaEdge Only
2023-09-11 00:00:00-04:00,2023-09-18 00:00:00-04:00,BUY_CALL,10.670000076293945,9.699999809265137,-97.00002670288086,-0.09700002670288087,1,stop_loss,IV/HV 0.69 < 0.8,VegaEdge Only
2023-10-02 00:00:00-04:00,2023-10-09 00:00:00-04:00,BUY_CALL,9.930000305175781,9.140000343322754,-78.99999618530273,-0.07899999618530273,1,stop_loss,IV/HV 0.72 < 0.8,VegaEdge Only
2023-10-16 00:00:00-04:00,2023-11-06 00:00:00-05:00,BUY_CALL,9.130000114440918,8.229999542236328,-90.00005722045898,-0.09000005722045899,3,stop_loss,IV/HV 0.75 < 0.8,VegaEdge Only
2023-11-27 00:00:00-05:00,2023-12-04 00:00:00-05:00,BUY_CALL,9.319999694824219,11.729999542236328,240.99998474121094,0.24099998474121095,1,iv_normalized,IV/HV 0.54 < 0.8,VegaEdge Only
2023-12-11 00:00:00-05:00,2023-12-18 00:00:00-05:00,SELL_CALL,11.6899995803833,12.949999809265137,-126.0000228881836,-0.12600002288818357,1,stop_loss,IV/HV 1.56 > 1.3,VegaEdge Only
2023-12-25 00:00:00-05:00,2024-01-22 00:00:00-05:00,SELL_CALL,12.739999771118164,10.789999961853027,194.99998092651367,0.19499998092651366,4,time_expiry,IV/HV 1.42 > 1.3,VegaEdge Only
2024-01-29 00:00:00-05:00,2024-02-05 00:00:00-05:00,SELL_CALL,10.920000076293945,11.550000190734863,-63.0000114440918,-0.06300001144409179,1,stop_loss,IV/HV 1.80 > 1.3,VegaEdge Only
2024-02-19 00:00:00-05:00,2024-02-26 00:00:00-05:00,SELL_CALL,14.479999542236328,16.579999923706055,-210.00003814697266,-0.21000003814697268,1,stop_loss,IV/HV 1.81 > 1.3,VegaEdge Only
2024-03-04 00:00:00-05:00,2024-03-11 00:00:00-04:00,SELL_CALL,17.0,18.149999618530273,-114.99996185302734,-0.11499996185302735,1,stop_loss,IV/HV 1.67 > 1.3,VegaEdge Only
2024-03-18 00:00:00-04:00,2024-03-25 00:00:00-04:00,SELL_CALL,18.299999237060547,20.1299991607666,-182.99999237060547,-0.18299999237060546,1,stop_loss,IV/HV 1.53 > 1.3,VegaEdge Only
2024-05-20 00:00:00-04:00,2024-06-03 00:00:00-04:00,SELL_CALL,20.510000228881836,22.18000030517578,-167.00000762939453,-0.16700000762939454,2,stop_loss,IV/HV 1.32 > 1.3,VegaEdge Only
2024-06-24 00:00:00-04:00,2024-07-08 00:00:00-04:00,SELL_CALL,22.709999084472656,22.280000686645508,42.999839782714844,0.04299983978271485,2,iv_normalized,IV/HV 1.30 > 1.3,VegaEdge Only
2024-09-16 00:00:00-04:00,2024-09-23 00:00:00-04:00,SELL_CALL,22.729999542236328,23.889999389648438,-115.99998474121094,-0.11599998474121093,1,stop_loss,IV/HV 1.37 > 1.3,VegaEdge Only
2024-11-04 00:00:00-05:00,2024-11-11 00:00:00-05:00,SELL_CALL,30.540000915527344,32.31999969482422,-177.9998779296875,-0.1779998779296875,1,stop_loss,IV/HV 1.39 > 1.3,VegaEdge Only
2024-11-18 00:00:00-05:00,2024-12-02 00:00:00-05:00,SELL_CALL,36.650001525878906,41.66999816894531,-501.9996643066406,-0.5019996643066407,2,stop_loss,IV/HV 1.47 > 1.3,VegaEdge Only
2024-12-09 00:00:00-05:00,2024-12-16 00:00:00-05:00,SELL_CALL,40.20000076293945,38.33000183105469,186.99989318847656,0.18699989318847657,1,iv_normalized,IV/HV 1.49 > 1.3,VegaEdge Only
2025-02-17 00:00:00-05:00,2025-03-17 00:00:00-04:00,SELL_CALL,51.599998474121094,44.36000061035156,723.9997863769531,0.7239997863769532,4,time_expiry,IV/HV 1.84 > 1.3,VegaEdge Only
2025-04-14 00:00:00-04:00,2025-04-21 00:00:00-04:00,SELL_CALL,41.18000030517578,49.45000076293945,-827.0000457763672,-0.8270000457763672,1,stop_loss,IV/HV 1.38 > 1.3,VegaEdge Only
2025-04-28 00:00:00-04:00,2025-05-05 00:00:00-04:00,SELL_CALL,48.59000015258789,54.650001525878906,-606.0001373291016,-0.6060001373291016,1,stop_loss,IV/HV 1.42 > 1.3,VegaEdge Only
2025-05-12 00:00:00-04:00,2025-05-26 00:00:00-04:00,SELL_CALL,61.7599983215332,66.1500015258789,-439.0003204345703,-0.4390003204345704,2,stop_loss,IV/HV 1.45 > 1.3,VegaEdge Only
2025-06-09 00:00:00-04:00,2025-06-16 00:00:00-04:00,SELL_CALL,72.5999984741211,78.5,-590.0001525878906,-0.5900001525878906,1,stop_loss,IV/HV 1.59 > 1.3,VegaEdge Only
2025-09-01 00:00:00-04:00,2025-09-29 00:00:00-04:00,BUY_CALL,101.25,148.6699981689453,4741.999816894531,4.741999816894531,4,time_expiry,IV/HV 0.74 < 0.8,VegaEdge Only
2025-10-06 00:00:00-04:00,2025-10-13 00:00:00-04:00,BUY_CALL,138.9600067138672,129.91000366210938,-905.0003051757812,-0.9050003051757812,1,stop_loss,IV/HV 0.71 < 0.8,VegaEdge Only
2025-10-20 00:00:00-04:00,2025-11-03 00:00:00-05:00,BUY_CALL,139.7899932861328,130.36000061035156,-942.999267578125,-0.942999267578125,2,stop_loss,IV/HV 0.70 < 0.8,VegaEdge Only
2023-07-10 00:00:00-04:00,2023-08-07 00:00:00-04:00,SELL_CALL,12.380000114440918,10.720000267028809,165.99998474121094,0.16599998474121094,4,time_expiry,At Keltner TOP,Keltner Only
2023-12-04 00:00:00-05:00,2023-12-18 00:00:00-05:00,SELL_CALL,11.729999542236328,12.949999809265137,-122.00002670288086,-0.12200002670288085,2,stop_loss,At Keltner TOP,Keltner Only
2023-12-25 00:00:00-05:00,2024-01-22 00:00:00-05:00,SELL_CALL,12.739999771118164,10.789999961853027,194.99998092651367,0.19499998092651366,4,time_expiry,At Keltner TOP,Keltner Only
2024-02-12 00:00:00-05:00,2024-02-26 00:00:00-05:00,SELL_CALL,14.0,16.579999923706055,-257.99999237060547,-0.25799999237060545,2,stop_loss,At Keltner TOP,Keltner Only
2024-03-04 00:00:00-05:00,2024-03-11 00:00:00-04:00,SELL_CALL,17.0,18.149999618530273,-114.99996185302734,-0.11499996185302735,1,stop_loss,At Keltner TOP,Keltner Only
2024-03-18 00:00:00-04:00,2024-03-25 00:00:00-04:00,SELL_CALL,18.299999237060547,20.1299991607666,-182.99999237060547,-0.18299999237060546,1,stop_loss,At Keltner TOP,Keltner Only
2024-04-01 00:00:00-04:00,2024-04-29 00:00:00-04:00,SELL_CALL,18.399999618530273,17.950000762939453,44.99988555908203,0.044999885559082034,4,time_expiry,At Keltner TOP,Keltner Only
2024-05-13 00:00:00-04:00,2024-06-03 00:00:00-04:00,SELL_CALL,20.09000015258789,22.18000030517578,-209.00001525878906,-0.20900001525878906,3,stop_loss,At Keltner TOP,Keltner Only
2024-06-10 00:00:00-04:00,2024-07-08 00:00:00-04:00,SELL_CALL,22.420000076293945,22.280000686645508,13.99993896484375,0.013999938964843752,4,time_expiry,At Keltner TOP,Keltner Only
2024-10-07 00:00:00-04:00,2024-11-04 00:00:00-05:00,SELL_CALL,26.270000457763672,30.540000915527344,-427.0000457763672,-0.4270000457763672,4,time_expiry,At Keltner TOP,Keltner Only
2024-11-11 00:00:00-05:00,2024-11-18 00:00:00-05:00,SELL_CALL,32.31999969482422,36.650001525878906,-433.00018310546875,-0.4330001831054688,1,stop_loss,At Keltner TOP,Keltner Only
2024-11-25 00:00:00-05:00,2024-12-02 00:00:00-05:00,SELL_CALL,37.540000915527344,41.66999816894531,-412.9997253417969,-0.41299972534179685,1,stop_loss,At Keltner TOP,Keltner Only
2024-12-09 00:00:00-05:00,2025-01-06 00:00:00-05:00,SELL_CALL,40.20000076293945,40.08000183105469,11.999893188476562,0.011999893188476564,4,time_expiry,At Keltner TOP,Keltner Only
2025-01-13 00:00:00-05:00,2025-01-20 00:00:00-05:00,SELL_CALL,48.150001525878906,51.119998931884766,-296.99974060058594,-0.2969997406005859,1,stop_loss,At Keltner TOP,Keltner Only
2025-01-27 00:00:00-05:00,2025-02-03 00:00:00-05:00,SELL_CALL,51.95000076293945,55.86000061035156,-390.99998474121094,-0.3909999847412109,1,stop_loss,At Keltner TOP,Keltner Only
2025-02-10 00:00:00-05:00,2025-03-10 00:00:00-04:00,SELL_CALL,65.27999877929688,39.2400016784668,2603.999710083008,2.603999710083008,4,time_expiry,At Keltner TOP,Keltner Only
2025-05-12 00:00:00-04:00,2025-05-26 00:00:00-04:00,SELL_CALL,61.7599983215332,66.1500015258789,-439.0003204345703,-0.4390003204345704,2,stop_loss,At Keltner TOP,Keltner Only
2025-06-02 00:00:00-04:00,2025-06-23 00:00:00-04:00,SELL_CALL,74.87999725341797,83.02999877929688,-815.0001525878906,-0.8150001525878907,3,stop_loss,At Keltner TOP,Keltner Only
2025-06-30 00:00:00-04:00,2025-07-14 00:00:00-04:00,SELL_CALL,94.4000015258789,109.73999786376953,-1533.9996337890625,-1.5339996337890625,2,stop_loss,At Keltner TOP,Keltner Only
2025-07-21 00:00:00-04:00,2025-08-04 00:00:00-04:00,SELL_CALL,104.8499984741211,114.62999725341797,-977.9998779296875,-0.9779998779296875,2,stop_loss,At Keltner TOP,Keltner Only
2025-08-11 00:00:00-04:00,2025-09-08 00:00:00-04:00,SELL_CALL,114.16999816894531,115.02999877929688,-86.00006103515625,-0.08600006103515624,4,time_expiry,At Keltner TOP,Keltner Only
2025-09-15 00:00:00-04:00,2025-09-29 00:00:00-04:00,SELL_CALL,124.77999877929688,148.6699981689453,-2388.9999389648438,-2.3889999389648438,2,stop_loss,At Keltner TOP,Keltner Only
2025-10-06 00:00:00-04:00,2025-10-27 00:00:00-04:00,SELL_CALL,138.9600067138672,146.77999877929688,-781.9992065429688,-0.7819992065429687,3,stop_loss,At Keltner TOP,Keltner Only
2023-12-18 00:00:00-05:00,2024-01-15 00:00:00-05:00,SELL_CALL,12.949999809265137,10.710000038146973,223.9999771118164,0.2239999771118164,4,time_expiry,CALL: IV/HV 1.70 > 1.3 + TOP,Combined
2024-02-19 00:00:00-05:00,2024-02-26 00:00:00-05:00,SELL_CALL,14.479999542236328,16.579999923706055,-210.00003814697266,-0.21000003814697268,1,stop_loss,CALL: IV/HV 1.81 > 1.3 + TOP,Combined
2024-03-04 00:00:00-05:00,2024-03-11 00:00:00-04:00,SELL_CALL,17.0,18.149999618530273,-114.99996185302734,-0.11499996185302735,1,stop_loss,CALL: IV/HV 1.67 > 1.3 + TOP,Combined
