Date,Type,Price,Position,IV_HV,IV_Pct,HV,HV_Pct,Discount,Lower_Band,Upper_Band
2023-12-04 00:00:00-05:00,SELL_CALL,11.729999542236328,TOP,1.650263551549989,90,64.37641994755725,91.64036363650283,0,7.584560346647565,11.8593044845979
2023-12-18 00:00:00-05:00,SELL_CALL,12.949999809265137,TOP,1.9882027547008572,90,63.622850684486174,96.8971568913433,0,7.847587771354555,12.550315077096727
2023-12-25 00:00:00-05:00,SELL_CALL,12.739999771118164,TOP,1.5143876159763376,90,62.983918732233604,94.2698906846954,0,8.124960386357152,12.756951671026037
2024-02-12 00:00:00-05:00,SELL_CALL,14.0,TOP,1.8612807833864013,90,70.56395070181318,100.0,0,8.569699273115877,13.557797967644305
2024-02-19 00:00:00-05:00,SELL_CALL,14.479999542236328,TOP,1.9808701322654056,90,70.56810388700056,100.0,0,8.921156506998349,13.857055195067781
2024-02-26 00:00:00-05:00,SELL_CALL,16.579999923706055,TOP,1.4359785457770338,90,70.89796386189902,100.0,0,9.246760482068913,14.520192948125407
2024-03-04 00:00:00-05:00,SELL_CALL,17.0,TOP,1.6324612642041316,90,70.66196896493514,99.23477148747497,0,9.611830723429723,15.129698570555615
2024-03-11 00:00:00-04:00,SELL_CALL,18.149999618530273,TOP,1.8668018589843074,90,70.04915643298708,97.24768774832492,0,9.845942235690973,15.996393719539622
2024-03-18 00:00:00-04:00,SELL_CALL,18.299999237060547,TOP,1.7798111400568943,90,69.73363345690464,96.22458436447508,0,10.132995050925576,16.7338801918184
2024-04-01 00:00:00-04:00,SELL_CALL,18.399999618530273,TOP,1.339858235215861,90,65.61460711235867,82.86837860223434,0,10.959708090726979,18.007234917902
2024-06-03 00:00:00-04:00,SELL_CALL,22.18000030517578,TOP,1.3188905330290666,90,62.517350540238795,72.8253265274496,0,12.923795498303301,21.824790234447228
2024-11-04 00:00:00-05:00,SELL_CALL,30.540000915527344,TOP,1.550378840362978,90,72.77279943927842,100.0,0,17.122649889305414,29.35486383832704
2024-11-11 00:00:00-05:00,SELL_CALL,32.31999969482422,TOP,1.5919670104388595,90,73.02593681473542,100.0,0,17.850016769964938,30.35725749690713
2024-11-18 00:00:00-05:00,SELL_CALL,36.650001525878906,TOP,1.4761902532160218,90,75.05087773756203,100.0,0,18.537634191380107,32.0594237692906
2024-11-25 00:00:00-05:00,SELL_CALL,37.540000915527344,TOP,1.9649515494880716,90,74.63786154083799,98.2928884133187,0,19.663573850329772,33.26519305037751
2024-12-02 00:00:00-05:00,SELL_CALL,41.66999816894531,TOP,1.846610060586626,90,75.66512348495819,100.0,0,20.587995649972843,35.23707881618047
2024-12-09 00:00:00-05:00,SELL_CALL,40.20000076293945,TOP,1.3974566642510866,90,73.48218592767029,91.20070862696944,0,21.223424475835735,36.942119234100964
2025-01-13 00:00:00-05:00,SELL_CALL,48.150001525878906,TOP,1.3748537506626632,90,70.51192367200939,79.22775825346127,0,24.09457055582834,44.092945633650714
2025-05-12 00:00:00-04:00,SELL_CALL,61.7599983215332,TOP,1.5781307459785059,90,95.45764376185538,100.0,0,28.828726026416383,63.45932042705797
2025-05-19 00:00:00-04:00,SELL_CALL,63.16999816894531,TOP,1.7719381200557192,90,95.34396520242773,99.74511891837017,0,30.72599021437673,64.80509908523251
2025-05-26 00:00:00-04:00,SELL_CALL,66.1500015258789,TOP,1.7144164622416822,90,94.82109830745159,98.57278809001586,0,33.29780098985833,65.73508961947934
2025-06-02 00:00:00-04:00,SELL_CALL,74.87999725341797,TOP,1.8981529968586868,90,92.08040311991816,92.4278179449575,0,34.89229476765642,68.97174859382393
2025-06-09 00:00:00-04:00,SELL_CALL,72.5999984741211,TOP,1.6941604866440776,90,92.41145843716745,93.17008401311173,0,37.144457257929844,70.65634358800402
2025-06-16 00:00:00-04:00,SELL_CALL,78.5,TOP,1.398398425158177,90,92.82847037823055,94.10507522980073,0,39.791652037308545,72.69478682329827
2025-06-23 00:00:00-04:00,SELL_CALL,83.02999877929688,TOP,1.9631258715810653,90,92.63026613508924,93.66067734043774,0,41.78387483900088,75.8048077071285
2025-06-30 00:00:00-04:00,SELL_CALL,94.4000015258789,TOP,1.6623085262866806,90,91.44470657316165,91.00250938860864,0,43.39493481410906,80.97577825636588
