"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/1/2026","4/1/2026","4/2/2026","RDW","RDW 4/10/2026 Put $7.50","BTC","1","$0.10","($10.04)"
"4/1/2026","4/1/2026","4/2/2026","CLSK","CLSK 6/18/2026 Call $10.00","STO","1","$1.04","$103.95"
"3/31/2026","3/31/2026","3/31/2026","VG","Cash Div: R/D 2026-03-16 P/D 2026-03-31 - 201.900248 shares at 0.018","CDIV","","","$3.63"
"3/31/2026","3/31/2026","4/1/2026","WULF","WULF 4/10/2026 Put $14.00","STO","1","$0.88","$87.95"
"3/31/2026","3/31/2026","4/1/2026","GRAB","GRAB 1/15/2027 Call $5.00","BTO","1","$0.30","($30.04)"
"3/31/2026","3/31/2026","4/1/2026","VG","VG 6/18/2026 Call $20.00","STO","1","$1.43","$142.95"
"3/31/2026","3/31/2026","4/1/2026","SOFI","SOFI 8/21/2026 Call $21.00","STO","1","$1.03","$102.95"
"3/31/2026","3/31/2026","4/1/2026","VG","VG 5/8/2026 Put $14.50","STO","1","$1.10","$109.95"
"3/31/2026","3/31/2026","4/1/2026","RDW","RDW 4/10/2026 Put $7.50","STO","1","$0.30","$29.95"
"3/31/2026","3/31/2026","4/1/2026","QXO","QXO 5/15/2026 Call $21.00","STO","1","$1.00","$99.95"
"3/30/2026","3/30/2026","3/31/2026","ZETA","ZETA 6/18/2026 Call $17.50","STO","1","$1.20","$119.95"
"3/30/2026","3/30/2026","3/31/2026","ZETA","ZETA 4/17/2026 Call $19.00","BTC","1","$0.09","($9.04)"
"3/30/2026","3/30/2026","3/31/2026","QXO","QXO 4/10/2026 Call $21.50","BTC","1","$0.10","($10.04)"
"3/30/2026","3/30/2026","3/31/2026","HOOD","HOOD 6/18/2026 Call $85.00","STO","1","$3.00","$299.95"
"3/30/2026","3/30/2026","3/31/2026","TTD","Trade Desk
CUSIP: 88339J105","Buy","10","$21.96","($219.55)"
"3/27/2026","3/27/2026","3/30/2026","WULF","WULF 3/27/2026 Call $14.00","OASGN","1","",""
"3/27/2026","3/27/2026","3/30/2026","WULF","TeraWulf
CUSIP: 88080T104
1 WULF Option Assigned","Sell","100","$14.00","$1,399.98"
"3/27/2026","3/27/2026","3/27/2026","TSLY","Cash Div: R/D 2026-03-26 P/D 2026-03-27 - 40.000882 shares at 0.2626","CDIV","","","$10.50"
"3/27/2026","3/27/2026","3/30/2026","WULF","WULF 1/21/2028 Call $30.00","STC","1","$3.69","$368.95"
"3/27/2026","3/27/2026","3/30/2026","WULF","WULF 3/27/2026 Call $14.00","STO","1","$0.81","$80.95"
"3/27/2026","3/27/2026","3/30/2026","CLSK","CLSK 3/27/2026 Call $10.00","BTC","1","$0.01","($1.04)"
"3/26/2026","3/26/2026","3/27/2026","GRAB","GRAB 3/27/2026 Put $4.00","BTC","1","$0.30","($30.04)"
"3/26/2026","3/26/2026","3/27/2026","TLT","TLT 1/15/2027 Call $100.00","BTO","1","$0.71","($71.04)"
"3/26/2026","3/26/2026","3/27/2026","TTD","TTD 9/18/2026 Call $27.50","STO","1","$2.97","$296.95"
"3/26/2026","3/26/2026","3/27/2026","TTD","Trade Desk
CUSIP: 88339J105","Buy","10","$22.12","($221.15)"
"3/26/2026","3/26/2026","3/27/2026","TTD","Trade Desk
CUSIP: 88339J105","Buy","10","$22.12","($221.20)"
"3/26/2026","3/26/2026","3/27/2026","PATH","PATH 8/21/2026 Call $14.00","STO","1","$1.11","$110.95"
"3/26/2026","3/26/2026","3/27/2026","TTD","Trade Desk
CUSIP: 88339J105","Buy","5","$22.19","($110.95)"
"3/25/2026","3/25/2026","3/26/2026","BMNR","BMNR 3/27/2026 Put $19.00","BTC","1","$0.12","($12.04)"
