"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/17/2026","4/17/2026","4/20/2026","ZM","ZM 1/15/2027 Put $140.00","STO","2","$53.00","$10,599.69"
"4/17/2026","4/17/2026","4/20/2026","ZM","ZM 1/15/2027 Put $130.00","BTO","2","$43.90","($8,780.08)"
"4/17/2026","4/17/2026","4/20/2026","ZM","ZM 1/15/2027 Put $130.00","BTO","1","$43.87","($4,387.04)"
"4/17/2026","4/17/2026","4/20/2026","ZM","ZM 1/15/2027 Put $140.00","STO","1","$52.99","$5,298.84"
"4/17/2026","4/17/2026","4/20/2026","ZM","ZM 1/15/2027 Put $130.00","BTO","1","$43.88","($4,388.04)"
"4/17/2026","4/17/2026","4/20/2026","ZM","ZM 1/15/2027 Put $140.00","STO","1","$52.98","$5,297.84"
"4/17/2026","4/17/2026","4/20/2026","NOW","NOW 1/15/2027 Put $140.00","BTO","2","$46.48","($9,296.08)"
"4/17/2026","4/17/2026","4/20/2026","NOW","NOW 1/15/2027 Put $150.00","STO","2","$54.98","$10,995.68"
"4/17/2026","4/17/2026","4/20/2026","BTBT","Bit Digital
CUSIP: G1144A105","Buy","100","$1.62","($162.50)"
"4/17/2026","4/17/2026","4/20/2026","SOFI","SOFI 5/1/2026 Call $21.50","BTC","1","$0.78","($78.04)"
"4/17/2026","4/17/2026","4/20/2026","SOFI","SOFI 5/29/2026 Call $23.00","STO","1","$0.82","$81.94"
"4/17/2026","4/17/2026","4/20/2026","ZETA","ZETA 1/21/2028 Call $35.00","STO","1","$3.57","$356.94"
"4/17/2026","4/17/2026","4/20/2026","ZETA","ZETA 1/21/2028 Call $30.00","BTO","1","$4.32","($432.04)"
"4/17/2026","4/17/2026","4/20/2026","SMR","SMR 1/21/2028 Call $50.00","STO","1","$2.77","$276.94"
"4/17/2026","4/17/2026","4/20/2026","SMR","SMR 1/21/2028 Call $40.00","BTO","1","$3.37","($337.04)"
"4/17/2026","4/17/2026","4/20/2026","BMNR","BMNR 1/21/2028 Call $85.00","BTO","1","$3.07","($307.04)"
"4/17/2026","4/17/2026","4/20/2026","BMNR","BMNR 1/21/2028 Call $90.00","STO","1","$2.82","$281.94"
"4/16/2026","4/16/2026","4/17/2026","SOFI","SOFI 1/15/2027 Put $30.00","BTO","2","$11.70","($2,340.08)"
"4/16/2026","4/16/2026","4/17/2026","SOFI","SOFI 1/15/2027 Put $35.00","STO","2","$16.10","$3,219.84"
