ticker,strategy,entry_date,entry_time,exit_date,exit_time,exit_reason,strike,entry_spot,exit_spot,entry_premium,exit_premium,entry_delta,days_held,pnl_usd,opp_cost_usd,assigned,shares_after
CIFR,csp,2026-03-30,2026-03-30T16:00:00-04:00,2026-04-24,2026-04-24T16:00:00-04:00,EOD_OPEN,10.60750017166136,12.015000343322754,18.200000762939453,1.0920286672248025,0.0005796749765776977,-0.29937906154339955,25,109.1448992248225,,False,0
RDW,csp,2025-08-13,2025-08-13T16:00:00-04:00,2025-09-17,2025-09-17T16:00:00-04:00,ASSIGNED,8.429999923706042,9.65999984741211,7.869999885559082,1.4076094067834184,0.0,-0.2981012880899111,35,140.76094067834185,56.00000381469599,True,100
AAL,csp,2026-03-10,2026-03-10T16:00:00-04:00,2026-04-14,2026-04-14T16:00:00-04:00,EXPIRED_OTM,10.054999828338607,11.109999656677246,12.130000114440918,0.5834248274890164,0.0,-0.29383540077563786,35,58.34248274890164,,False,0
CRWV,csp,2025-11-07,2025-11-07T16:00:00-05:00,2025-12-12,2025-12-12T16:00:00-05:00,ASSIGNED,93.00500106811523,104.01000213623047,78.58999633789062,7.460053477661656,0.0,-0.3000356621645499,35,746.0053477661656,1441.500473022461,True,100
