ticker,strategy,entry_date,exit_date,exit_reason,strike,entry_spot,exit_spot,entry_premium,exit_premium,entry_delta,days_held,pnl_usd,assigned
AMKR,managed_cc,2025-09-18,2025-10-23,EXPIRED_OTM,32.65999984741211,29.15999984741211,31.979999542236328,0.8109335606930763,0.0,0.28670057239612873,35,81.09335606930763,False
AMKR,managed_cc,2025-10-24,2025-11-28,EXPIRED_OTM,37.27000045776367,32.77000045776367,36.38999938964844,1.0365412712101865,0.0,0.28959977299185274,35,103.65412712101865,False
AMKR,managed_cc,2025-12-01,2026-01-05,ASSIGNED_RIDE,44.2400016784668,37.7400016784668,48.130001068115234,1.6073412622688483,0.0,0.3062543728195498,35,160.73412622688483,True
AMKR,unmanaged_cc,2025-09-18,2025-10-23,EXPIRED_OTM,32.65999984741211,29.15999984741211,31.979999542236328,0.8109335606930763,0.0,0.28670057239612873,35,81.09335606930763,False
AMKR,unmanaged_cc,2025-10-24,2025-11-28,EXPIRED_OTM,37.27000045776367,32.77000045776367,36.38999938964844,1.0365412712101865,0.0,0.28959977299185274,35,103.65412712101865,False
AMKR,unmanaged_cc,2025-12-01,2026-01-05,ASSIGNED_OTM_END,44.2400016784668,37.7400016784668,48.130001068115234,1.6073412622688483,0.0,0.3062543728195498,35,160.73412622688483,True
SLB,managed_cc,2026-01-05,2026-02-09,ASSIGNED_RIDE,47.29999923706055,43.79999923706055,50.540000915527344,1.0022525375984799,0.0,0.3033290900097835,35,100.22525375984799,True
SLB,unmanaged_cc,2026-01-05,2026-02-09,ASSIGNED_OTM_END,47.29999923706055,43.79999923706055,50.540000915527344,1.0022525375984799,0.0,0.3033290900097835,35,100.22525375984799,True
WULF,managed_cc,2025-08-14,2025-09-18,EXPIRED_OTM,13.810000038146955,8.710000038146973,11.170000076293945,0.7251633393675772,0.0,0.30158571107138976,35,145.03266787351544,False
WULF,managed_cc,2025-09-19,2025-10-24,EXPIRED_OTM,16.979999542236307,10.979999542236328,13.710000038146973,0.8791411108162217,0.0,0.300428031697506,35,175.82822216324433,False
WULF,managed_cc,2025-10-27,2025-12-01,EXPIRED_OTM,16.440000343322744,13.640000343322754,15.300000190734863,0.6230101034091349,0.0,0.2996527106597979,35,124.60202068182697,False
WULF,managed_cc,2025-12-02,2026-01-06,EXPIRED_OTM,19.22000026702879,14.220000267028809,13.180000305175781,0.892849854532225,0.0,0.2978698886603527,35,178.569970906445,False
WULF,managed_cc,2026-01-07,2026-02-11,ROLLED,15.889999771118152,12.489999771118164,16.030000686645508,0.6788772291530063,0.14000091552735583,0.2986877290685821,35,107.77526272513009,
WULF,managed_cc,2026-02-11,2026-03-18,EXPIRED_OTM,20.830000686645576,16.030000686645508,15.300000190734863,0.9401551165845468,0.0,0.3013274271674885,35,188.03102331690934,False
WULF,managed_cc,2026-03-19,2026-04-23,EXPIRED_OTM,20.539999771118147,15.739999771118164,20.3700008392334,0.9248620272829977,0.0,0.30006653250254495,35,184.97240545659955,False
WULF,managed_cc,2026-04-24,2026-05-01,EOD_OPEN,24.010000228881836,20.010000228881836,21.309999465942383,0.8599324804871573,1.17073692232813,0.2939884759383057,7,-62.160888368194556,False
WULF,unmanaged_cc,2025-08-14,2025-09-18,EXPIRED_OTM,13.810000038146955,8.710000038146973,11.170000076293945,0.7251633393675772,0.0,0.30158571107138976,35,145.03266787351544,False
WULF,unmanaged_cc,2025-09-19,2025-10-24,EXPIRED_OTM,16.979999542236307,10.979999542236328,13.710000038146973,0.8791411108162217,0.0,0.300428031697506,35,175.82822216324433,False
WULF,unmanaged_cc,2025-10-27,2025-12-01,EXPIRED_OTM,16.440000343322744,13.640000343322754,15.300000190734863,0.6230101034091349,0.0,0.2996527106597979,35,124.60202068182697,False
WULF,unmanaged_cc,2025-12-02,2026-01-06,EXPIRED_OTM,19.22000026702879,14.220000267028809,13.180000305175781,0.892849854532225,0.0,0.2978698886603527,35,178.569970906445,False
WULF,unmanaged_cc,2026-01-07,2026-02-11,ASSIGNED_OTM_END,15.889999771118152,12.489999771118164,16.030000686645508,0.6788772291530063,0.0,0.2986877290685821,35,135.77544583060126,True
VG,managed_cc,2025-05-09,2025-06-13,ASSIGNED_RIDE,12.050000381469717,9.350000381469727,17.639999389648438,0.5264634900713991,0.0,0.2986180097661089,35,157.93904702141975,True
VG,unmanaged_cc,2025-05-09,2025-06-13,ASSIGNED_OTM_END,12.050000381469717,9.350000381469727,17.639999389648438,0.5264634900713991,0.0,0.2986180097661089,35,157.93904702141975,True
QXO,managed_cc,2025-06-06,2025-07-11,EXPIRED_OTM,22.900000000000055,19.0,21.170000076293945,0.8861569768721145,0.0,0.3024390282267858,35,177.2313953744229,False
QXO,managed_cc,2025-07-14,2025-08-18,EXPIRED_OTM,24.049999237060547,21.049999237060547,20.6299991607666,0.7841462658020033,0.0,0.30651302321088236,35,156.82925316040067,False
QXO,managed_cc,2025-08-22,2025-09-26,EXPIRED_OTM,22.389999389648438,20.389999389648438,18.790000915527344,0.5457471753286809,0.0,0.3016019884681032,35,109.14943506573618,False
QXO,managed_cc,2025-10-02,2025-11-06,EXPIRED_OTM,22.409999847412145,19.90999984741211,16.139999389648438,0.6524640263184871,0.0,0.302410717887058,35,130.49280526369742,False
QXO,managed_cc,2025-12-02,2026-01-06,ASSIGNED_RIDE,22.129999923706094,19.329999923706055,23.979999542236328,0.7100573259351997,0.0,0.3032327088983385,35,142.01146518703993,True
QXO,unmanaged_cc,2025-06-06,2025-07-11,EXPIRED_OTM,22.900000000000055,19.0,21.170000076293945,0.8861569768721145,0.0,0.3024390282267858,35,177.2313953744229,False
QXO,unmanaged_cc,2025-07-14,2025-08-18,EXPIRED_OTM,24.049999237060547,21.049999237060547,20.6299991607666,0.7841462658020033,0.0,0.30651302321088236,35,156.82925316040067,False
QXO,unmanaged_cc,2025-08-22,2025-09-26,EXPIRED_OTM,22.389999389648438,20.389999389648438,18.790000915527344,0.5457471753286809,0.0,0.3016019884681032,35,109.14943506573618,False
QXO,unmanaged_cc,2025-10-02,2025-11-06,EXPIRED_OTM,22.409999847412145,19.90999984741211,16.139999389648438,0.6524640263184871,0.0,0.302410717887058,35,130.49280526369742,False
QXO,unmanaged_cc,2025-12-02,2026-01-06,ASSIGNED_OTM_END,22.129999923706094,19.329999923706055,23.979999542236328,0.7100573259351997,0.0,0.3032327088983385,35,142.01146518703993,True
GRAB,managed_cc,2025-05-05,2025-06-09,EXPIRED_OTM,5.760000133514401,4.860000133514404,4.980000019073486,0.21057588355575985,0.0,0.3019297801508924,35,147.4031184890319,False
GRAB,managed_cc,2025-06-10,2025-07-15,EXPIRED_OTM,5.079999828338622,4.679999828338623,5.039999961853027,0.10515834140238445,0.0,0.29453731409421124,35,73.61083898166912,False
GRAB,managed_cc,2025-07-16,2025-08-20,EXPIRED_OTM,5.630000114440916,5.130000114440918,5.03000020980835,0.1435605072573336,0.0,0.3075316248850818,35,100.49235508013352,False
GRAB,managed_cc,2025-08-21,2025-09-25,ASSIGNED_RIDE,5.4100002288818345,5.010000228881836,6.25,0.13547792522786195,0.0,0.3228933786521917,35,94.83454765950337,True
GRAB,unmanaged_cc,2025-05-05,2025-06-09,EXPIRED_OTM,5.760000133514401,4.860000133514404,4.980000019073486,0.21057588355575985,0.0,0.3019297801508924,35,147.4031184890319,False
GRAB,unmanaged_cc,2025-06-10,2025-07-15,EXPIRED_OTM,5.079999828338622,4.679999828338623,5.039999961853027,0.10515834140238445,0.0,0.29453731409421124,35,73.61083898166912,False
GRAB,unmanaged_cc,2025-07-16,2025-08-20,EXPIRED_OTM,5.630000114440916,5.130000114440918,5.03000020980835,0.1435605072573336,0.0,0.3075316248850818,35,100.49235508013352,False
